City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Khorramabad,IR,33.4878,48.3558,90.43,10,0,14.23,clear sky,2021-06-06 14:31:29
1,Vaini,TO,-21.2,-175.2,71.76,83,20,6.91,few clouds,2021-06-06 14:31:29
2,Qaqortoq,GL,60.7167,-46.0333,57.7,80,100,4.83,overcast clouds,2021-06-06 14:31:29
3,Victoria,HK,22.2855,114.1577,84.38,84,12,1.99,few clouds,2021-06-06 14:38:20
4,Hilo,US,19.7297,-155.09,69.8,88,90,5.75,light rain,2021-06-06 14:35:38
5,Kirensk,RU,57.7853,108.1119,45.54,93,91,5.64,overcast clouds,2021-06-06 14:38:20
6,Hermanus,ZA,-34.4187,19.2345,68.49,45,9,5.3,clear sky,2021-06-06 14:38:20
7,Palmerston,AU,-12.486,130.9833,73.38,71,0,6.22,clear sky,2021-06-06 14:38:21
8,Kahului,US,20.8947,-156.47,74.84,82,75,12.66,broken clouds,2021-06-06 14:37:05
9,Christchurch,NZ,-43.5333,172.6333,48.99,96,75,1.99,mist,2021-06-06 14:38:21
10,Dunedin,NZ,-45.8742,170.5036,43.81,87,0,4.0,clear sky,2021-06-06 14:38:22
11,New Norfolk,AU,-42.7826,147.0587,50.92,82,100,1.01,overcast clouds,2021-06-06 14:38:22
12,Wasilla,US,61.5814,-149.4394,53.78,87,1,3.44,clear sky,2021-06-06 14:31:32
13,Kaitangata,NZ,-46.2817,169.8464,43.99,85,69,2.37,broken clouds,2021-06-06 14:31:32
14,Atuona,PF,-9.8,-139.0333,79.09,66,69,11.07,broken clouds,2021-06-06 14:31:33
15,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,27,4.0,scattered clouds,2021-06-06 14:31:33
16,Mar Del Plata,AR,-38.0023,-57.5575,52.12,63,0,11.01,clear sky,2021-06-06 14:29:11
17,Rikitea,PF,-23.1203,-134.9692,76.41,81,95,14.79,light rain,2021-06-06 14:31:34
18,Punta Arenas,CL,-53.15,-70.9167,33.91,86,0,9.78,clear sky,2021-06-06 14:31:26
19,Butaritari,KI,3.0707,172.7902,81.36,76,6,6.6,light rain,2021-06-06 14:31:34
20,Jamestown,US,42.097,-79.2353,81.01,62,1,5.01,clear sky,2021-06-06 14:30:03
21,Castro,BR,-24.7911,-50.0119,73.76,45,97,7.0,overcast clouds,2021-06-06 14:31:35
22,Viedma,AR,-40.8135,-62.9967,51.03,44,100,7.38,overcast clouds,2021-06-06 14:31:35
23,Hobart,AU,-42.8794,147.3294,52.27,84,75,1.01,broken clouds,2021-06-06 14:31:35
24,Bredasdorp,ZA,-34.5322,20.0403,64.98,45,12,6.24,few clouds,2021-06-06 14:31:36
25,Ushuaia,AR,-54.8,-68.3,38.86,75,75,8.05,broken clouds,2021-06-06 14:31:28
26,Atar,MR,20.5169,-13.0499,107.98,11,2,19.48,clear sky,2021-06-06 14:31:36
27,Mataura,NZ,-46.1927,168.8643,44.17,87,100,1.54,overcast clouds,2021-06-06 14:31:36
28,Fenelon Falls,CA,44.5334,-78.7496,81.63,67,100,9.93,overcast clouds,2021-06-06 14:31:37
29,Santa Fe,AR,-31.6333,-60.7,60.03,40,5,4.0,clear sky,2021-06-06 14:29:13
30,Ternovka,RU,51.678,41.6375,64.17,82,87,6.98,moderate rain,2021-06-06 14:31:37
31,Fortuna,US,40.5982,-124.1573,53.92,72,75,5.01,broken clouds,2021-06-06 14:31:37
32,Karratha,AU,-20.7377,116.8463,75.94,69,100,6.4,overcast clouds,2021-06-06 14:26:53
33,Tuatapere,NZ,-46.1333,167.6833,43.29,85,67,3.15,broken clouds,2021-06-06 14:31:38
34,Inuvik,CA,68.3499,-133.7218,33.84,77,75,8.05,broken clouds,2021-06-06 14:31:38
35,Luwuk,ID,-0.9516,122.7875,77.07,73,86,4.36,overcast clouds,2021-06-06 14:31:39
36,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,70,12.91,light rain,2021-06-06 14:31:39
37,Saint-Pierre,RE,-21.3393,55.4781,74.88,80,75,11.5,broken clouds,2021-06-06 14:26:55
